date,bitcoin_price,bitcoin_vol.
18-04-2023,"30,382.20",76580.0
17-04-2023,"29,434.90",71900.0
14-04-2023,"30,472.50",98380.0
13-04-2023,"30,387.40",65870.0
12-04-2023,"29,886.40",78690.0
11-04-2023,"30,209.60",89380.0
10-04-2023,"29,641.00",85730.0
06-04-2023,"28,036.70",51290.0
05-04-2023,"28,173.50",77320.0
04-04-2023,"28,164.40",64060.0
03-04-2023,"27,802.10",98000.0
31-03-2023,"28,473.70",98440.0
30-03-2023,"28,029.50",122510.0
29-03-2023,"28,350.40",109320.0
28-03-2023,"27,262.20",94160.0
27-03-2023,"27,129.80",107240.0
24-03-2023,"27,462.20",110360.0
23-03-2023,"28,310.70",158460.0
22-03-2023,"27,261.70",262030.0
21-03-2023,"28,114.00",438780.0
20-03-2023,"27,720.50",503900.0
17-03-2023,"27,391.80",674960.0
16-03-2023,"25,004.10",462580.0
15-03-2023,"24,282.70",614310.0
14-03-2023,"24,699.70",753060.0
13-03-2023,"24,114.40",733630.0
10-03-2023,"20,156.70",655270.0
09-03-2023,"20,361.80",468760.0
08-03-2023,"21,710.80",316510.0
07-03-2023,"22,197.80",304750.0
06-03-2023,"22,410.00",215310.0
03-03-2023,"22,354.40",344630.0
02-03-2023,"23,465.40",249260.0
01-03-2023,"23,642.20",328770.0
28-02-2023,"23,130.50",275100.0
27-02-2023,"23,494.10",297650.0
24-02-2023,"23,191.50",367990.0
23-02-2023,"23,936.30",417460.0
22-02-2023,"24,186.60",400240.0
21-02-2023,"24,450.70",395970.0
17-02-2023,"24,573.50",523850.0
16-02-2023,"23,539.60",484500.0
15-02-2023,"24,327.90",401530.0
14-02-2023,"22,198.50",378390.0
13-02-2023,"21,772.60",312040.0
10-02-2023,"21,635.00",352790.0
09-02-2023,"21,792.50",425440.0
08-02-2023,"22,964.60",289120.0
07-02-2023,"23,251.70",318980.0
06-02-2023,"22,761.80",278580.0
03-02-2023,"23,431.20",349360.0
02-02-2023,"23,427.60",382860.0
01-02-2023,"23,725.60",333180.0
31-01-2023,"23,125.10",289380.0
30-01-2023,"22,832.20",339620.0
27-01-2023,"23,074.60",310360.0
26-01-2023,"23,016.00",320970.0
25-01-2023,"23,055.10",388180.0
24-01-2023,"22,632.50",334170.0
23-01-2023,"22,915.50",327850.0
20-01-2023,"22,677.20",373740.0
19-01-2023,"21,081.20",275760.0
18-01-2023,"20,670.60",388670.0
17-01-2023,"21,137.10",310040.0
13-01-2023,"19,927.00",426670.0
12-01-2023,"18,851.30",522010.0
11-01-2023,"17,942.30",291530.0
10-01-2023,"17,439.10",247140.0
09-01-2023,"17,180.10",301240.0
06-01-2023,"16,950.90",233470.0
05-01-2023,"16,829.80",178960.0
04-01-2023,"16,852.10",247390.0
03-01-2023,"16,674.20",178730.0
30-12-2022,"16,607.20",192760.0
29-12-2022,"16,636.40",181470.0
28-12-2022,"16,546.20",217960.0
27-12-2022,"16,706.10",192180.0
23-12-2022,"16,779.10",184120.0
22-12-2022,"16,820.60",198280.0
21-12-2022,"16,831.80",174340.0
20-12-2022,"16,902.80",284570.0
19-12-2022,"16,441.30",207930.0
16-12-2022,"16,629.60",303560.0
15-12-2022,"17,356.10",263440.0
14-12-2022,"17,796.40",318980.0
13-12-2022,"17,778.60",328710.0
12-12-2022,"17,210.40",249390.0
09-12-2022,"17,125.70",260840.0
08-12-2022,"17,225.70",261640.0
07-12-2022,"16,835.20",244360.0
06-12-2022,"17,089.30",246190.0
05-12-2022,"16,966.50",268720.0
02-12-2022,"17,093.60",227010.0
01-12-2022,"16,972.00",266140.0
30-11-2022,"17,163.90",348220.0
29-11-2022,"16,440.40",271580.0
28-11-2022,"16,211.70",284840.0
25-11-2022,"16,512.30",204070.0
23-11-2022,"16,623.90",305080.0
22-11-2022,"16,212.90",287210.0
21-11-2022,"15,776.20",372150.0
18-11-2022,"16,638.30",241960.0
17-11-2022,"16,691.20",257000.0
16-11-2022,"16,540.50",295730.0
15-11-2022,"16,895.10",337150.0
14-11-2022,"16,613.70",442460.0
11-11-2022,"17,049.90",466350.0
10-11-2022,"17,589.10",720740.0
09-11-2022,"15,886.90",869570.0
08-11-2022,"18,527.40",865100.0
07-11-2022,"20,589.00",414240.0
04-11-2022,"21,145.90",499500.0
03-11-2022,"20,206.40",347230.0
02-11-2022,"20,154.40",420230.0
01-11-2022,"20,483.50",302720.0
31-10-2022,"20,496.30",327470.0
28-10-2022,"20,594.40",318900.0
27-10-2022,"20,292.90",365490.0
26-10-2022,"20,769.50",427990.0
25-10-2022,"20,082.70",371540.0
24-10-2022,"19,331.50",286940.0
21-10-2022,"19,162.60",294660.0
20-10-2022,"19,042.90",253200.0
19-10-2022,"19,123.90",209280.0
18-10-2022,"19,328.20",290070.0
17-10-2022,"19,548.20",248400.0
14-10-2022,"19,181.80",400450.0
13-10-2022,"19,379.80",455130.0
12-10-2022,"19,154.80",242180.0
11-10-2022,"19,059.10",288570.0
10-10-2022,"19,134.60",243770.0
07-10-2022,"19,531.30",263500.0
06-10-2022,"19,956.70",370600.0
05-10-2022,"20,157.50",352760.0
04-10-2022,"20,340.20",368170.0
03-10-2022,"19,628.30",333030.0
30-09-2022,"19,423.00",490290.0
29-09-2022,"19,593.00",449570.0
